tenant_name,title,content,category,tags
"힐링안과","라식 수술 비용 안내","힐링안과의 라식 수술 비용은 양안 기준 150만원부터 시작됩니다. 수술 방법에 따라 차이가 있으며, 라식은 150만원, 라섹은 180만원, 스마일라식은 250만원입니다. 정확한 비용은 정밀 검사 후 결정되며, 3개월 무이자 할부도 가능합니다. 수술 비용에는 1년간 무료 사후관리가 포함되어 있습니다.","가격정보","라식,라섹,스마일라식,비용,할부"
"힐링안과","라식 수술 전 준비사항","라식 수술 전에는 렌즈 착용을 중단해야 합니다. 소프트렌즈는 3일 전부터, 하드렌즈는 2주 전부터 착용을 중지해주세요. 수술 당일에는 화장을 하지 마시고, 향수나 헤어스프레이도 사용하지 마세요. 보호자와 함께 내원하시는 것을 권장하며, 수술 후 당일은 운전이 불가능합니다. 편안한 복장으로 오시면 됩니다.","수술준비","라식,준비사항,렌즈,당일,보호자"
"힐링안과","라식 수술 후 회복기간","라식 수술 후 일상생활 복귀는 빠른 편입니다. 수술 다음날부터 세안과 샤워가 가능하며, 가벼운 운동은 1주일 후, 수영은 1개월 후부터 가능합니다. 시력은 수술 직후부터 개선되며, 안정화까지는 1~3개월 정도 소요됩니다. 정기 검진은 1일, 1주일, 1개월, 3개월, 6개월, 1년 후에 진행됩니다.","회복정보","라식,회복,일상복귀,운동,검진"
"힐링안과","스마일라식 장점","스마일라식은 최신 시력교정술로, 각막 절개 부위가 2~4mm로 매우 작아 회복이 빠릅니다. 일반 라식보다 각막 손상이 적고, 안구건조증 발생률이 낮습니다. 수술 시간은 양안 기준 10~15분으로 짧으며, 통증이 거의 없습니다. 각막이 얇거나 안구건조증이 있는 분들에게 적합합니다.","시술정보","스마일라식,장점,각막,건조증,회복"
"힐링안과","백내장 수술 안내","힐링안과의 백내장 수술은 최신 장비를 사용하여 안전하게 진행됩니다. 수술 시간은 약 15~20분이며, 국소마취로 진행되어 통증이 거의 없습니다. 수술 후 1~2주 내에 일상생활이 가능하며, 인공수정체 삽입으로 노안까지 개선할 수 있습니다. 건강보험 적용이 가능하여 본인부담금은 약 10~30만원입니다.","백내장","백내장,수술,인공수정체,노안,건강보험"
"청담봄온의원","보톡스 시술 비용","청담봄온의원의 보톡스 시술 비용은 부위당 8만원부터 시작합니다. 이마 8만원, 미간 8만원, 눈가 10만원, 턱 보톡스는 15만원입니다. 정품 보톡스만 사용하며, 시술 후 2주 뒤 무료 터치업이 제공됩니다. 효과는 3~6개월 지속되며, 정기적인 시술로 더 오래 유지할 수 있습니다.","가격정보","보톡스,비용,이마,미간,눈가,턱"
"청담봄온의원","필러 시술 안내","청담봄온의원의 필러 시술은 FDA 승인 정품만 사용합니다. 팔자주름 필러는 1cc 기준 30만원, 볼륨 필러는 50만원입니다. 시술 시간은 20~30분이며, 즉시 효과를 확인할 수 있습니다. 효과는 6~12개월 지속되며, 자연스러운 결과를 추구합니다. 시술 전 충분한 상담을 통해 원하는 모양을 디자인합니다.","시술정보","필러,팔자주름,볼륨,정품,FDA"
"청담봄온의원","리프팅 시술 종류","청담봄온의원에서는 울세라, 써마지, 인모드 등 다양한 리프팅 시술을 제공합니다. 울세라는 깊은 층까지 도달하여 강력한 효과가 있으며, 써마지는 콜라겐 재생을 촉진합니다. 인모드는 통증이 적고 일상복귀가 빠릅니다. 피부 상태와 원하는 효과에 따라 맞춤 시술을 추천드립니다.","시술정보","리프팅,울세라,써마지,인모드,콜라겐"
"청담봄온의원","레이저 토닝 효과","레이저 토닝은 기미, 색소침착, 잡티 개선에 효과적입니다. 시술 시간은 15~20분으로 짧고, 통증이 거의 없습니다. 일주일 간격으로 5~10회 시술을 권장하며, 피부톤이 밝아지고 맑아집니다. 다운타임이 없어 바로 일상생활이 가능하며, 화장도 당일부터 가능합니다.","레이저","레이저토닝,기미,색소,잡티,다운타임"
"청담봄온의원","아큐리프트 얼굴 지방 제거","아큐리프트는 이중턱과 볼 지방을 효과적으로 제거하는 시술입니다. 국소마취로 진행되며, 시술 시간은 30~40분입니다. 가는 캐뉼라를 사용하여 멍이 적고 회복이 빠릅니다. 효과는 영구적이며, 자연스러운 V라인을 만들 수 있습니다. 시술 후 3일간 압박밴드 착용을 권장합니다.","지방제거","아큐리프트,이중턱,볼지방,V라인,캐뉼라"
"서울성형외과","코성형 수술 종류","서울성형외과에서는 개인별 맞춤 코성형을 제공합니다. 융비술(콧대 높이기), 비첨성형(코끝 성형), 매부리코 교정, 휜코 교정 등 다양한 수술이 가능합니다. 자가연골 또는 실리콘 보형물을 사용하며, 개인의 얼굴 비율에 맞춘 자연스러운 디자인을 추구합니다. 수술 시간은 2~3시간이며, 전신마취로 진행됩니다.","코성형","코성형,융비술,비첨성형,매부리코,휜코"
"서울성형외과","쌍꺼풀 수술 방법","쌍꺼풀 수술은 매몰법과 절개법 두 가지 방법이 있습니다. 매몰법은 실로 고정하여 흉터가 없고 회복이 빠르지만, 풀릴 가능성이 있습니다. 절개법은 영구적인 효과가 있으며, 두꺼운 피부나 처진 눈꺼풀에 적합합니다. 수술 시간은 1시간 내외이며, 1주일 후 실밥 제거합니다. 완전한 회복까지는 2~3개월 소요됩니다.","눈성형","쌍꺼풀,매몰법,절개법,눈성형,회복"
"서울성형외과","얼굴 윤곽 수술 안내","서울성형외과의 얼굴 윤곽 수술은 사각턱, 광대, 턱끝 성형이 있습니다. 3D CT 분석을 통해 정밀한 수술 계획을 세우며, 안면신경 손상을 최소화합니다. 수술 시간은 2~4시간이며, 입원은 1~2일 필요합니다. 붓기는 2주~1개월간 지속되며, 완전한 효과는 3~6개월 후 확인할 수 있습니다.","윤곽수술","윤곽,사각턱,광대,턱끝,3DCT"
"서울성형외과","지방흡입 수술 정보","지방흡입은 복부, 허벅지, 팔뚝, 옆구리 등 부분 비만 개선에 효과적입니다. 최신 초음파 기법으로 피부 손상을 최소화하며, 수술 시간은 부위당 1~2시간입니다. 수술 후 압박복을 2~3주간 착용해야 하며, 가벼운 일상생활은 3일 후부터 가능합니다. 최종 결과는 3~6개월 후 확인할 수 있습니다.","지방흡입","지방흡입,복부,허벅지,팔뚝,초음파"
"서울성형외과","가슴성형 수술 방법","가슴성형은 보형물 종류와 삽입 위치를 선택할 수 있습니다. 코히시브젤, 물방울형, 라운드형 보형물이 있으며, 겨드랑이, 유륜, 가슴 밑선 절개가 가능합니다. 수술 시간은 2~3시간이며, 1~2일 입원을 권장합니다. 보형물 교체는 10~15년 후 고려할 수 있으며, 평생 A/S를 제공합니다.","가슴성형","가슴성형,보형물,코히시브젤,물방울형,평생AS"
